medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Gold,Volksbier Vienna,Wibby Brewing,Longmont,CO,American Amber Lager,2020,lager,104247,West,Colorado,Mountain
Silver,Oktoberfest,Founders Brewing Co.,Grand Rapids,MI,American Amber Lager,2020,lager,58216,North Central,Michigan,East North Central
Bronze,Amber Lager,Skipping Rock Beer Co.,Staunton,VA,American Amber Lager,2020,lager,40815,South,Virginia,South Atlantic
Gold,Lager at World's End,Epidemic Ales,Concord,CA,American Lager,2020,lager,158693,West,California,Pacific
Silver,Seismic Tremor,Seismic Brewing Co.,Santa Rosa,CA,American Lager,2020,lager,158693,West,California,Pacific
Bronze,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American Lager,2020,lager,56400,North Central,Illinois,East North Central
Gold,Beachscape,Ventura Coast Brewing Co.,Ventura,CA,American Pilsener,2020,pilsener,158693,West,California,Pacific
Silver,Imagine a World with Beer Cellars Instead of 401ks,Freetail Brewing Co.,San Antonio,TX,American Pilsener,2020,pilsener,267339,South,Texas,West South Central
Bronze,Pilsner,Old Town Brewing,Portland,OR,American Pilsener,2020,pilsener,96981,West,Oregon,Pacific
Gold,Tank 7,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2020,ale,69686,North Central,Missouri,West North Central
Silver,Dear You,Ratio Beerworks,Denver,CO,American-Belgo-Style Ale,2020,ale,104247,West,Colorado,Mountain
Gold,Avalon Amber Ale,Bowigens Beer Co.,Casselberry,FL,American-Style Amber/Red Ale,2020,ale,58560,South,Florida,South Atlantic
Silver,Justin's Easy Going Amber,Zuni Street Brewing Co.,Denver,CO,American-Style Amber/Red Ale,2020,ale,104247,West,Colorado,Mountain
Bronze,Paulie's Not Irish,Old Town Brewing,Portland,OR,American-Style Amber/Red Ale,2020,ale,96981,West,Oregon,Pacific
Gold,Wookey Jack,Firestone Walker Brewing Co. - The Propagator,Marina del Rey,CA,American-Style Black Ale or American-Style Stout,2020,ale,158693,West,California,Pacific
Gold,Brown Ale,Second Street Brewery,Santa Fe,NM,American-Style Brown Ale,2020,ale,121666,West,New Mexico,Mountain
Silver,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2020,ale,40815,South,Virginia,South Atlantic
Bronze,All-American Brown,Auburn Alehouse,Auburn,CA,American-Style Brown Ale,2020,ale,158693,West,California,Pacific
Gold,Moonlite,Moontown Brewing Co.,Whitestown,IN,American-Style Cream Ale,2020,ale,36291,North Central,Indiana,East North Central
Bronze,Let's Talk About Mex,Cannonball Creek Brewing Co.,Golden,CO,American-Style Cream Ale,2020,ale,104247,West,Colorado,Mountain
Gold,Strawberry Zwickelbier,Twin Sisters Brewing Co.,Bellingham,WA,American-Style Fruit Beer,2020,fruit,68192,West,Washington,Pacific
Silver,Everything But The Seeds,1623 Brewing Co.,Eldersburg,MD,American-Style Fruit Beer,2020,fruit,10577,South,Maryland,South Atlantic
Bronze,"Berry, Berry, Quite Contrary",Territorial Brewing Co.,Springfield,MI,American-Style Fruit Beer,2020,fruit,58216,North Central,Michigan,East North Central
Gold,IPA,Perry Street Brewing,Spokane,WA,American-Style India Pale Ale,2020,ale,68192,West,Washington,Pacific
Silver,Updrift India Pale Ale,Pelican Brewing Co. - Tillamook,Tillamook,OR,American-Style India Pale Ale,2020,ale,96981,West,Oregon,Pacific
Gold,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,American-Style Pale Ale,2020,ale,104247,West,Colorado,Mountain
Silver,Somewhere Golden,Institution Ale Co.,Camarillo,CA,American-Style Pale Ale,2020,ale,158693,West,California,Pacific
Bronze,Pantsless,Alarmist Brewing,Chicago,IL,American-Style Pale Ale,2020,ale,56400,North Central,Illinois,East North Central
Gold,Vice Sans Fruit,Wild Barrel Brewing Co.,San Marcos,CA,American-Style Sour Ale,2020,ale,158693,West,California,Pacific
Silver,Mirage,New Terrain Brewing Co.,Golden,CO,American-Style Sour Ale,2020,ale,104247,West,Colorado,Mountain
Gold,Built For Speed,Grains of Wrath Brewing,Camas,WA,American-Style Strong Pale Ale,2020,ale,68192,West,Washington,Pacific
Silver,Superpower IPA,Comrade Brewing Co.,Denver,CO,American-Style Strong Pale Ale,2020,ale,104247,West,Colorado,Mountain
Bronze,Mai Tai P.A.,Alvarado Street Brewery & Tasting Room,Salinas,CA,American-Style Strong Pale Ale,2020,ale,158693,West,California,Pacific
Gold,Whoopty Whoop Wheat,Wild Ride Brewing,Redmond,OR,American-Style Wheat Beer,2020,wheat,96981,West,Oregon,Pacific
Bronze,10 Barrel TWheat,10 Barrel Brewing Co. - Bend Pub,Bend,OR,American-Style Wheat Beer,2020,wheat,96981,West,Oregon,Pacific
Gold,Dubbel or Nothing,Monkless Belgian Ales,Bend,OR,Belgian-Style Abbey Ale,2020,ale,96981,West,Oregon,Pacific
Bronze,Lux Mundi,Save The World Brewing Co.,Marble Falls,TX,Belgian-Style Abbey Ale,2020,ale,267339,South,Texas,West South Central
Silver,Crazy Train,Fretboard Brewing Co.,Blue Ash,OH,Belgian-Style Ale or French-Style Ale,2020,ale,41222,North Central,Ohio,East North Central
Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Belgian-Style Lambic or Sour Ale,2020,ale,158693,West,California,Pacific
Silver,Peche,Block 15 Brewing Co.,Corvallis,OR,Belgian-Style Lambic or Sour Ale,2020,ale,96981,West,Oregon,Pacific
Bronze,Cerise Morte,Wicked Weed - Funk House,Arden,NC,Belgian-Style Lambic or Sour Ale,2020,ale,52586,South,North Carolina,South Atlantic
Gold,Tangible Passion,Riip Beer Co.,Huntington Beach,CA,Belgian-Style Specialty Ale,2020,ale,158693,West,California,Pacific
Silver,Goin' Stag,Cabin Boys Brewery,Tulsa,OK,Belgian-Style Specialty Ale,2020,ale,69919,South,Oklahoma,West South Central
Bronze,Orange Diva,StillFire Brewing,Suwanee,GA,Belgian-Style Specialty Ale,2020,ale,58876,South,Georgia,South Atlantic
Gold,Cosmic Sloth,Pinthouse Pizza - South Lamar,Austin,TX,Belgian-Style Strong Specialty Ale,2020,ale,267339,South,Texas,West South Central
Bronze,Hell Camino Belgian Quad,Dos Desperados Brewery,San Diego,CA,Belgian-Style Strong Specialty Ale,2020,ale,158693,West,California,Pacific
Gold,White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2020,witbier,33215,Northeast,Maine,New England
Silver,Boeman Belgian White,Ogopogo Brewing,San Gabriel,CA,Belgian-Style Witbier,2020,witbier,158693,West,California,Pacific
Bronze,Wolk,Lock 27 Brewing,Centerville,OH,Belgian-Style Witbier,2020,witbier,41222,North Central,Ohio,East North Central
Gold,Chuckanut Maibock,Chuckanut Brewery - North Nut,Bellingham,WA,Bock,2020,bock,68192,West,Washington,Pacific
Silver,Maibock,NoDa Brewing Co. - NE,Charlotte,NC,Bock,2020,bock,52586,South,North Carolina,South Atlantic
Bronze,Skool House Bock,Moontown Brewing Co.,Whitestown,IN,Bock,2020,bock,36291,North Central,Indiana,East North Central
Gold,Perle Haggard,Ex Novo Brewing Co.,Portland,OR,Bohemian-Style Pilsener,2020,pilsener,96981,West,Oregon,Pacific
Silver,Fortune &amp; Glory,Precarious Beer Project - Precarious Beer Hall,Williamsburg,VA,Bohemian-Style Pilsener,2020,pilsener,40815,South,Virginia,South Atlantic
Bronze,Tres Tres,Ocean Beach Brewery,San Diego,CA,Bohemian-Style Pilsener,2020,pilsener,158693,West,California,Pacific
Gold,Bottle Conditioned Day Drinker,Lost Forty Brewing,Little Rock,AR,Brett Beer,2020,other,53104,South,Arkansas,West South Central
Bronze,Saison de Walt,Flix Brewhouse,Carmel,IN,Brett Beer,2020,other,36291,North Central,Indiana,East North Central
Gold,Brown Claw,Kern River Brewing Co.,Kernville,CA,Brown Porter,2020,porter,158693,West,California,Pacific
Bronze,Old Normal,Bend Brewing Co.,Bend,OR,Brown Porter,2020,porter,96981,West,Oregon,Pacific
Silver,Poblano Pils,CervecerC3=ADa Colorado,Denver,CO,Chili Beer,2020,other,104247,West,Colorado,Mountain
Bronze,Hatch Chile Gatos,Fate Brewing Co.,Scottsdale,AZ,Chili Beer,2020,other,113909,West,Arizona,Mountain
Gold,Weapon of Mash Destruction,Main & Six Brewing Co.,Jacksonville,FL,Chocolate Beer,2020,flavored,58560,South,Florida,South Atlantic
Bronze,Von Schrag,Mother's Brewing Co.,Springfield,MO,Chocolate Beer,2020,flavored,69686,North Central,Missouri,West North Central
Gold,Beyond the Gnome World,Silver Branch Brewing Co.,Silver Spring,MD,Classic Saison,2020,saison,10577,South,Maryland,South Atlantic
Silver,Tomorrow's Verse,Urban Roots Brewing &amp; Smokehouse,Sacramento,CA,Classic Saison,2020,saison,158693,West,California,Pacific
Bronze,Meadowlark,Metazoa Brewing Co. - Taproom,Indianapolis,IN,Classic Saison,2020,saison,36291,North Central,Indiana,East North Central
Gold,Daybreak,Wolf's Ridge Brewing - Production Operations,Columbus,OH,Coffee Beer,2020,flavored,41222,North Central,Ohio,East North Central
Silver,Golden Stout,Karl Strauss Brewing Co. - Anaheim,Anaheim,CA,Coffee Beer,2020,flavored,158693,West,California,Pacific
Bronze,BJ's Coffee Blonde,BJ's Restaurant & Brewery - Reno,Reno,NV,Coffee Beer,2020,flavored,110540,West,Nevada,Mountain
Gold,Super Tonic,Docent Brewing,San Juan Capistrano,CA,Coffee Stout or Porter,2020,stout,158693,West,California,Pacific
Silver,The Riizzo,Riip Beer Co.,Huntington Beach,CA,Coffee Stout or Porter,2020,stout,158693,West,California,Pacific
Bronze,Venti is Large,Hop Dogma Brewing Co.,Half Moon Bay,CA,Coffee Stout or Porter,2020,stout,158693,West,California,Pacific
Gold,Cruise to Nowhere,Town Brewing Co.,Charlotte,NC,Contemporary Gose,2020,other,52586,South,North Carolina,South Atlantic
Silver,Haole Punch,Alvarado Street Brewery & Grill,Monterey,CA,Contemporary Gose,2020,other,158693,West,California,Pacific
Bronze,Steady As She Gose - P.O.G.,Big Ugly Brewing,Chesapeake,VA,Contemporary Gose,2020,other,40815,South,Virginia,South Atlantic
Silver,The Prince of DORTness,Quarter Celtic Brewpub,Albuquerque,NM,Dortmunder or German-Style Oktoberfest,2020,other german-style,121666,West,New Mexico,Mountain
Bronze,Funfest,Bootlegger's Brewery,Fullerton,CA,Dortmunder or German-Style Oktoberfest,2020,other german-style,158693,West,California,Pacific
Gold,Proper Beer,Proper Brewing Co.,Salt Lake City,UT,English Ale,2020,ale,84916,West,Utah,Mountain
Silver,Summer Lovin',Blue Mountain Brewery,Afton,VA,English Ale,2020,ale,40815,South,Virginia,South Atlantic
Bronze,Uncle Dave's,Discretion Brewing,Soquel,CA,English Ale,2020,ale,158693,West,California,Pacific
Gold,Deep Roots,Three Weavers Brewing Co.,Inglewood,CA,English Mild or Bitter,2020,bitter,158693,West,California,Pacific
Silver,English Pale Mild Ale,Wallenpaupack Brewing Co.,Hawley,PA,English Mild or Bitter,2020,bitter,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,MSB (McFleshman's Special Bitter),McFleshman's Brewing Co.,Appleton,WI,English Mild or Bitter,2020,bitter,56154,North Central,Wisconsin,East North Central
Gold,Get Up Offa That Brown,Golden Road Brewing,Anaheim,CA,English-Style Brown Ale,2020,ale,158693,West,California,Pacific
Silver,Bloodhound Brown Ale,Attic Brewing Co.,Philadelphia,PA,English-Style Brown Ale,2020,ale,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,Barrel Aged Coco PiC3=B1a,Coastal Empire Beer Co.,Savannah,GA,Experimental Beer,2020,other,58876,South,Georgia,South Atlantic
Silver,Choco Tuesday,Lone Pine Brewing Co. - Gorham Tasting Room,Gorham,ME,Experimental Beer,2020,other,33215,Northeast,Maine,New England
Bronze,Get Artistic,Creature Comforts Brewing Co.,Athens,GA,Experimental Beer,2020,other,58876,South,Georgia,South Atlantic
Gold,Pepper & Peaches,Claremont Craft Ales,Claremont,CA,Experimental India Pale Ale,2020,ale,158693,West,California,Pacific
Silver,Lazy Tiger,Lamplighter Brewing Co.,Cambridge,MA,Experimental India Pale Ale,2020,ale,8257,Northeast,Massachusetts,New England
Gold,Wicket Awesome,Eureka Heights Brew Co.,Houston,TX,Extra Special Bitter,2020,bitter,267339,South,Texas,West South Central
Silver,Extra Special StormBreaker,StormBreaker Brewing,Portland,OR,Extra Special Bitter,2020,bitter,96981,West,Oregon,Pacific
Bronze,English Sporting Beer,Midwest Coast Brewing Co.,Chicago,IL,Extra Special Bitter,2020,bitter,56400,North Central,Illinois,East North Central
Gold,Lime Cucumber Gose,Urban South Brewery - New Orleans,New Orleans,LA,Field Beer,2020,other,48523,South,Louisiana,West South Central
Silver,Coconut Bligh's Barleywine,Dry Dock Brewing Co.- North Dock,Aurora,CO,Field Beer,2020,other,104247,West,Colorado,Mountain
Gold,Conelick'r,Three Creeks Brewing Co.,Sisters,OR,Fresh Hop Beer,2020,other,96981,West,Oregon,Pacific
Bronze,Fresh Hop Hazealicious,Reuben's Brews - Production Brewery,Seattle,WA,Fresh Hop Beer,2020,other,68192,West,Washington,Pacific
Gold,Liliko'i Kepolo,Avery Brewing Co.,Boulder,CO,Fruit Wheat Beer,2020,wheat,104247,West,Colorado,Mountain
Silver,Grandma's Favorite Recipe,Silver Harbor Brewing Co.,Saint Joseph,MI,Fruit Wheat Beer,2020,wheat,58216,North Central,Michigan,East North Central
Bronze,Afternoon Delight,Storm Peak Brewing Co.,Steamboat Springs,CO,Fruit Wheat Beer,2020,wheat,104247,West,Colorado,Mountain
Gold,Guava Dreams,Del Cielo Brewing Co.,Martinez,CA,Fruited American-Style Sour Ale,2020,ale,158693,West,California,Pacific
Bronze,Summer Sun,Stereo Brewing Co.,Placentia,CA,Fruited American-Style Sour Ale,2020,ale,158693,West,California,Pacific
Gold,The Many Lives of Our Lives,Big aLICe Brewing Co.,Long Island City,NY,Fruited Wood- and Barrel-Aged Sour Beer,2020,aged,49576,Northeast,New York,Middle Atlantic
Bronze,Cherry Busey,Sun King Brewery - Indianapolis,Indianapolis,IN,Fruited Wood- and Barrel-Aged Sour Beer,2020,aged,36291,North Central,Indiana,East North Central
Gold,Maximilian,La Reforma,Albuquerque,NM,German Dark Lager,2020,lager,121666,West,New Mexico,Mountain
Silver,Dozer Line,Topa Topa Brewing Co.,Ventura,CA,German Dark Lager,2020,lager,158693,West,California,Pacific
Gold,Howitzer Amber,Red Leg Brewing Co.,Colorado Springs,CO,German-Style Altbier,2020,altbier,104247,West,Colorado,Mountain
Silver,Control ALT,Devil's Logic Brewing,Charlotte,NC,German-Style Altbier,2020,altbier,52586,South,North Carolina,South Atlantic
Bronze,Altitude Alt,Altitude Chophouse & Brewery,Laramie,WY,German-Style Altbier,2020,altbier,97914,West,Wyoming,Mountain
Gold,Agent Provocator,Clandestine Brewing,San Jose,CA,German-Style Doppelbock or Eisbock,2020,bock,158693,West,California,Pacific
Silver,Duck-Rabbit Duck-Rabbator,Duck-Rabbit Craft Brewery,Farmville,NC,German-Style Doppelbock or Eisbock,2020,bock,52586,South,North Carolina,South Atlantic
Bronze,Kolsch Money,Jack's Abby Craft Lagers,Framingham,MA,German-Style Koelsch,2020,other german-style,8257,Northeast,Massachusetts,New England
Gold,Amber's Lager-Amber Lager,Irwin Brewing Co.,Crested Butte,CO,German-Style Maerzen,2020,other german-style,104247,West,Colorado,Mountain
Silver,White Rocktoberfest,White Rock Alehouse & Brewery,Dallas,TX,German-Style Maerzen,2020,other german-style,267339,South,Texas,West South Central
Bronze,Big Grove Oktoberfest,Big Grove Brewery,Iowa City,IA,German-Style Maerzen,2020,other german-style,56290,North Central,Iowa,West North Central
Gold,Sprockets,Gravely Brewing Co.,Louisville,KY,German-Style Pilsener,2020,pilsener,40395,South,Kentucky,East South Central
Bronze,Pils,Kansas City Bier Co.,Kansas City,MO,German-Style Pilsener,2020,pilsener,69686,North Central,Missouri,West North Central
Silver,Hefeweizen,Kansas City Bier Co.,Kansas City,MO,German-Style Wheat Ale,2020,ale,69686,North Central,Missouri,West North Central
Bronze,Doc's Dunkel,Gravely Brewing Co.,Louisville,KY,German-Style Wheat Ale,2020,ale,40395,South,Kentucky,East South Central
Gold,Aurochs Hazy IPA,Aurochs Brewing Co.,Emsworth,PA,Gluten-Free Beer,2020,other,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,1808,ALT Brew,Madison,WI,Gluten-Free Beer,2020,other,56154,North Central,Wisconsin,East North Central
Gold,Carolinian,Columbia Craft Brewing Co.,Columbia,SC,Golden or Blonde Ale,2020,ale,31055,South,South Carolina,South Atlantic
Bronze,Sunlight Cream Ale,Sun King Brewery - Indianapolis,Indianapolis,IN,Golden or Blonde Ale,2020,ale,36291,North Central,Indiana,East North Central
Gold,Allergeez,Panther Island Brewing,Fort Worth,TX,Herb and Spice Beer,2020,flavored,267339,South,Texas,West South Central
Bronze,Powder Run,Living the Dream Brewing Co.,Littleton,CO,Herb and Spice Beer,2020,flavored,104247,West,Colorado,Mountain
Gold,Decorah Nordic Gruit,PIVO Brewery,Calmar,IA,Historical Beer,2020,other,56290,North Central,Iowa,West North Central
Silver,Seedstock Gratzer,Seedstock Brewery,Denver,CO,Historical Beer,2020,other,104247,West,Colorado,Mountain
Bronze,Fr. Bernard's Grodziskie,New Magnolia Brewing Co.,Houston,TX,Historical Beer,2020,other,267339,South,Texas,West South Central
Gold,Honey Please,Armadillo Ale Works,Denton,TX,Honey Beer,2020,flavored,267339,South,Texas,West South Central
Silver,Tra La La,Grimm Artisanal Ales,Brooklyn,NY,Honey Beer,2020,flavored,49576,Northeast,New York,Middle Atlantic
Gold,Hammerland DIPA,El Segundo Brewing Co.,El Segundo,CA,Imperial India Pale Ale,2020,ale,158693,West,California,Pacific
Silver,Double Cone,Alvarado Street Brewery & Tasting Room,Salinas,CA,Imperial India Pale Ale,2020,ale,158693,West,California,Pacific
Bronze,Freak of Nature Double IPA,Wicked Weed Brewing,Asheville,NC,Imperial India Pale Ale,2020,ale,52586,South,North Carolina,South Atlantic
Gold,The Snow,Community Beer Works,Buffalo,NY,Imperial Stout,2020,stout,49576,Northeast,New York,Middle Atlantic
Bronze,Stoutacus,Shoe Tree Brewing Co.,Carson City,NV,Imperial Stout,2020,stout,110540,West,Nevada,Mountain
Gold,Baltic Porter,Skipping Rock Beer Co.,Staunton,VA,International Dark Lager,2020,lager,40815,South,Virginia,South Atlantic
Silver,Murder Ballads,Noble Beast Brewing Co.,Cleveland,OH,International Dark Lager,2020,lager,41222,North Central,Ohio,East North Central
Bronze,Public Enemy Baltic Porter,Dust Bowl Brewing Co.,Turlock,CA,International Dark Lager,2020,lager,158693,West,California,Pacific
Gold,Locals Only,Pizza Port Carlsbad,Carlsbad,CA,International Pale Ale,2020,ale,158693,West,California,Pacific
Silver,Carlsbad Crush,Burgeon Beer Co.,Carlsbad,CA,International Pale Ale,2020,ale,158693,West,California,Pacific
Bronze,Inner Light,Our Mutual Friend Brewing,Denver,CO,International Pale Ale,2020,ale,104247,West,Colorado,Mountain
Gold,Japanese Lager,pFriem Family Brewers,Hood River,OR,International Pilsener,2020,pilsener,96981,West,Oregon,Pacific
Silver,Rioveza,Kern River Brewing Co. - The Backyard,Kernville,CA,International Pilsener,2020,pilsener,158693,West,California,Pacific
Bronze,Little Wing,Horse Thief Hollow Brewing Co.,Chicago,IL,International Pilsener,2020,pilsener,56400,North Central,Illinois,East North Central
Gold,Balefire Irish Red,Mirror Image Brewing Co.,Frederick,CO,Irish-Style Red Ale,2020,ale,104247,West,Colorado,Mountain
Silver,Crimson Lass,Quarter Celtic Brewpub,Albuquerque,NM,Irish-Style Red Ale,2020,ale,121666,West,New Mexico,Mountain
Bronze,Vixen,Old Bust Head Brewing Co.,Vint Hill,VA,Irish-Style Red Ale,2020,ale,40815,South,Virginia,South Atlantic
Gold,The Hopsplainer,Burke-Gilman Brewing Co.,Seattle,WA,Juicy or Hazy Imperial India Pale Ale,2020,ale,68192,West,Washington,Pacific
Silver,Not A Scientist,Cloudburst Brewing,Seattle,WA,Juicy or Hazy Imperial India Pale Ale,2020,ale,68192,West,Washington,Pacific
Gold,Spellbinder,Wren House Brewing Co.,Phoenix,AZ,Juicy or Hazy India Pale Ale,2020,ale,113909,West,Arizona,Mountain
Silver,Yojo,Moonraker Brewing Co.,Auburn,CA,Juicy or Hazy India Pale Ale,2020,ale,158693,West,California,Pacific
Bronze,Wicked Pawesome,Metazoa Brewing Co. - Stringtown Production Facility,Indianapolis,IN,Juicy or Hazy India Pale Ale,2020,ale,36291,North Central,Indiana,East North Central
Gold,Moon Haze,Blue Moon Brewing Co.,Denver,CO,Juicy or Hazy Pale Ale,2020,ale,104247,West,Colorado,Mountain
Silver,Hazy L IPA,Bale Breaker Brewing Co.,Yakima,WA,Juicy or Hazy Pale Ale,2020,ale,68192,West,Washington,Pacific
Bronze,Mosaic Pale Ale,Random Row Brewing Co.,Charlottesville,VA,Juicy or Hazy Pale Ale,2020,ale,40815,South,Virginia,South Atlantic
Gold,Goofy Boots,Penrose Brewing Co.,Geneva,IL,Juicy or Hazy Strong Pale Ale,2020,ale,56400,North Central,Illinois,East North Central
Silver,Reuben's Crush,Reuben's Brews - The Taproom,Seattle,WA,Juicy or Hazy Strong Pale Ale,2020,ale,68192,West,Washington,Pacific
Gold,Safety Dance,Smartmouth Brewing Co.,Norfolk,VA,Kellerbier or Zwickelbier,2020,other,40815,South,Virginia,South Atlantic
Silver,Royal Bohemian Pilsner,Earth Rider Brewery,Superior,WI,Kellerbier or Zwickelbier,2020,other,56154,North Central,Wisconsin,East North Central
Bronze,TF Brewing Granary Keller Bier,Templin Family Brewing,Salt Lake City,UT,Kellerbier or Zwickelbier,2020,other,84916,West,Utah,Mountain
Gold,Wander Litely,Wander Brewing,Bellingham,WA,Light Lager,2020,lager,68192,West,Washington,Pacific
Silver,Chuckanut Chuck Lite,Chuckanut Brewery - North Nut,Bellingham,WA,Light Lager,2020,lager,68192,West,Washington,Pacific
Bronze,Pachanga,Sun King Brewery - Indianapolis,Indianapolis,IN,Light Lager,2020,lager,36291,North Central,Indiana,East North Central
Silver,D=C3=A9luge,Sanitas Brewing Co.,Boulder,CO,Mixed-Culture Brett Beer,2020,other,104247,West,Colorado,Mountain
Bronze,Gathering Red Currants & Peaches,Grimm Artisanal Ales,Brooklyn,NY,Mixed-Culture Brett Beer,2020,other,49576,Northeast,New York,Middle Atlantic
Gold,Augenblick Light Lager,Masthead Brewing Co.,Cleveland,OH,Munich-Style Helles,2020,other,41222,North Central,Ohio,East North Central
Gold,Settlers' Oatmeal Stout,Vallensons' Brewing Co.,Pearland,TX,Oatmeal Stout,2020,stout,267339,South,Texas,West South Central
Silver,North Tower Stout,Earth Rider Brewery,Superior,WI,Oatmeal Stout,2020,stout,56154,North Central,Wisconsin,East North Central
Bronze,Stagecoach Stout,Figueroa Mountain Brewing Co.,Buellton,CA,Oatmeal Stout,2020,stout,158693,West,California,Pacific
Gold,Miss Cleo's Barkleywine,Sanford Brewing Co.,Sanford,FL,Old Ale or Strong Ale or Barley Wine-Style Ale,2020,ale,58560,South,Florida,South Atlantic
Silver,Baby Maker,Triple C Brewing Co.,Charlotte,NC,Old Ale or Strong Ale or Barley Wine-Style Ale,2020,ale,52586,South,North Carolina,South Atlantic
Gold,Rico,Chihuahua Cerveza,Costa Mesa,CA,Other Strong Beer,2020,other,158693,West,California,Pacific
Silver,Krimson King,Accomplice Beer Co.,Cheyenne,WY,Other Strong Beer,2020,other,97914,West,Wyoming,Mountain
Bronze,"Hello, Sabro!",Danville Brewing Co.,Danville,CA,Other Strong Beer,2020,other,158693,West,California,Pacific
Gold,Gordgeous,NoDa Brewing Co. - NE,Charlotte,NC,Pumpkin Beer,2020,other,52586,South,North Carolina,South Atlantic
Silver,5 Phantoms 2018,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin Beer,2020,other,147138,West,Montana,Mountain
Gold,Tabula Rasa,Second Chance Beer Co.,San Diego,CA,Robust Porter,2020,porter,158693,West,California,Pacific
Silver,Porter,Founders Brewing Co.,Grand Rapids,MI,Robust Porter,2020,porter,58216,North Central,Michigan,East North Central
Bronze,Thriller Pillar Porter,Bron Yr Aur Brewing Co.,Naches,WA,Robust Porter,2020,porter,68192,West,Washington,Pacific
Silver,Hugzilla,Gezellig Brewing Co.,Newton,IA,Rye Beer,2020,rye,56290,North Central,Iowa,West North Central
Bronze,Chuckanut Rye,Chuckanut Brewery - North Nut,Bellingham,WA,Rye Beer,2020,rye,68192,West,Washington,Pacific
Gold,No. 17 Scotch Ale,The Freehouse,Minneapolis,MN,Scotch Ale,2020,ale,84068,North Central,Minnesota,West North Central
Bronze,Wee Heavy HINDER,H.H. Hinder Brewing Co.,Waupaca,WI,Scotch Ale,2020,ale,56154,North Central,Wisconsin,East North Central
Gold,Back Country,Lewis & Clark Brewing Co.,Helena,MT,Scottish-Style Ale,2020,ale,147138,West,Montana,Mountain
Silver,It Takes a Tribe Red Ale,Goat Patch Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2020,ale,104247,West,Colorado,Mountain
Bronze,Taildragger Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2020,ale,113909,West,Arizona,Mountain
Gold,Tip the Calf,SingleSpeed Brewing,Waterloo,IA,Session Beer or Non-Alcohol Beer,2020,other,56290,North Central,Iowa,West North Central
Silver,Guillaume,Pizza Port Ocean Beach,San Diego,CA,Session Beer or Non-Alcohol Beer,2020,other,158693,West,California,Pacific
Gold,Hefty Fee,Docent Brewing,San Juan Capistrano,CA,Session India Pale Ale,2020,ale,158693,West,California,Pacific
Silver,Pedal Pounder,LazyG Brewhouse,Prescott,AZ,Session India Pale Ale,2020,ale,113909,West,Arizona,Mountain
Silver,Holy Smokes!,Santa Maria Brewing Co.,Atascadero,CA,Smoke Beer,2020,flavored,158693,West,California,Pacific
Gold,Coco Burrito Porter,Shoe Tree Brewing Co.,Carson City,NV,Specialty Beer,2020,other,110540,West,Nevada,Mountain
Silver,Cookies &amp; Cream Milk Stout,Waconia Brewing Co.,Waconia,MN,Specialty Beer,2020,other,84068,North Central,Minnesota,West North Central
Bronze,Cactus Warrior,Toltec Brewing Co.,Albuquerque,NM,Specialty Beer,2020,other,121666,West,New Mexico,Mountain
Gold,Razzle Fo Shazzle,Great Basin Brewing Co. - Reno,Reno,NV,Specialty Berliner-Style Weisse,2020,other,110540,West,Nevada,Mountain
Silver,Glitz & Glam,Eppig Brewing,Vista,CA,Specialty Berliner-Style Weisse,2020,other,158693,West,California,Pacific
Bronze,Plumpricot,Beale's,Bedford,VA,Specialty Berliner-Style Weisse,2020,other,40815,South,Virginia,South Atlantic
Gold,Farmhouse CuvC3==A9e,Alesong Brewing & Tasting Room,Eugene,OR,Specialty Saison,2020,saison,96981,West,Oregon,Pacific
Silver,Seeds of Infinity,Coldfire Brewing,Eugene,OR,Specialty Saison,2020,saison,96981,West,Oregon,Pacific
Gold,ODIS,O'Connor Brewing Co.,Norfolk,VA,Stout,2020,stout,40815,South,Virginia,South Atlantic
Silver,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Stout,2020,stout,49576,Northeast,New York,Middle Atlantic
Bronze,Dry Stout,The Post Brewing Co.,Lafayette,CO,Stout,2020,stout,104247,West,Colorado,Mountain
Gold,Happy Days,Claremont Craft Ales,Claremont,CA,Strong Red Ale,2020,ale,158693,West,California,Pacific
Silver,Side Hike,Kern River Brewing Co.,Kernville,CA,Strong Red Ale,2020,ale,158693,West,California,Pacific
Gold,Moozie Milk Stout,Brink Brewing Co.,Cincinnati,OH,Sweet Stout or Cream Stout,2020,stout,41222,North Central,Ohio,East North Central
