medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Silver,Barrel 001,Santa Barbara Brewing Co.,Santa Barbara,CA,Wood- and Barrel-aged Beer,2006,aged,158693,West,California,Pacific
Gold,Bourbon Cherry Stout,Central Waters Brewing Co.,Junction City,WI,Wood- and Barrel-aged Strong Beer,2006,aged,56154,North Central,Wisconsin,East North Central
Silver,Full Sail Black Gold Imperial Stout,Full Sail Brewing at Riverplace,Hood River,OR,Wood- and Barrel-aged Strong Beer,2006,aged,96981,West,Oregon,Pacific
Bronze,Wooden Hell,Flossmoor Station Brewing Co.,Floosmoor,IL,Wood- and Barrel-aged Strong Beer,2006,aged,56400,North Central,Illinois,East North Central
Gold,TAPS Cream Ale,TAPS Fish House & Brewery,Brea,CA,American Cream Ale or Lager,2005,ale,158693,West,California,Pacific
Bronze,Special Export,Pabst Brewing Co.,San Antonio,TX,American Cream Ale or Lager,2005,ale,267339,South,Texas,West South Central
Gold,Sam Adams Light,Boston Beer Co.,Boston,MA,"American-Style ""Light"" Amber Lager",2005,lager,8257,Northeast,Massachusetts,New England
Bronze,Shiner Light,Spoetzl Brewery (The),San Antonio,TX,"American-Style ""Light"" Amber Lager",2005,lager,267339,South,Texas,West South Central
Gold,Amber Waves Ale,Capitol City Brewing Co.,Arlington,VA,American-Style Amber / Red Ale,2005,ale,40815,South,Virginia,South Atlantic
Silver,Sunset Amber Ale,Oggi's Pizza & Brewing Co.,San Clemente,CA,American-Style Amber / Red Ale,2005,ale,158693,West,California,Pacific
Bronze,Hoppus Maximus,Thirsty Dog Brewing Co.,Independence,OH,American-Style Amber / Red Ale,2005,ale,41222,North Central,Ohio,East North Central
Gold,Old Scratch Amber Lager,Flying Dog Brewery,Denver,CO,American-Style Amber Lager,2005,lager,104247,West,Colorado,Mountain
Silver,Steam Engine Lager,Steamworks Brewing Co.,Durango,CO,American-Style Amber Lager,2005,lager,104247,West,Colorado,Mountain
Bronze,California Lager,Morgan Territory Brewing,Antioch,CA,American-Style Amber Lager,2005,lager,158693,West,California,Pacific
Gold,Bitch Creek ESB,Grand Teton Brewing Co.,Victor,ID,American-Style Brown Ale,2005,ale,83557,West,Idaho,Mountain
Silver,Doryman's Dark Ale,Pelican Pub & Brewery,Pacific City,OR,American-Style Brown Ale,2005,ale,96981,West,Oregon,Pacific
Silver,Shiner Bock,Spoetzl Brewery (The),San Antonio,TX,American-Style Dark Lager,2005,lager,267339,South,Texas,West South Central
Bronze,Darth's Dark Lager,Redrock Brewing Co.,Flint,MI,American-Style Dark Lager,2005,lager,58216,North Central,Michigan,East North Central
Silver,Faller Wheat Ale,Rock Bottom Brewery - Seattle,Seattle,WA,American-Style Hefeweizen,2005,hefeweizen,68192,West,Washington,Pacific
Bronze,O'Fallon Wheat,O'Fallon Brewery,O'Fallon,MO,American-Style Hefeweizen,2005,hefeweizen,69686,North Central,Missouri,West North Central
Gold,Castle Rock IPA,Santa Barbara Brewing Co.,Santa Barbara,CA,American-Style India Pale Ale,2005,ale,158693,West,California,Pacific
Bronze,I.P.A.,AleSmith Brewing Co.,San Diego,CA,American-Style India Pale Ale,2005,ale,158693,West,California,Pacific
Gold,Stag,Pabst Brewing Co.,San Antonio,TX,American-Style Lager,2005,lager,267339,South,Texas,West South Central
Silver,Rainier,Pabst Brewing Co.,San Antonio,TX,American-Style Lager,2005,lager,267339,South,Texas,West South Central
Bronze,Milwaukee's Best,Miller Brewing Co.,Milwaukee,WI,American-Style Lager,2005,lager,56154,North Central,Wisconsin,East North Central
Gold,Old Milwaukee Light,Pabst Brewing Co.,San Antonio,TX,American-Style Light Lager,2005,lager,267339,South,Texas,West South Central
Bronze,Keystone Light,Coors Brewing Co.,Golden,CO,American-Style Light Lager,2005,lager,104247,West,Colorado,Mountain
Gold,Pale Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Pale Ale,2005,ale,158693,West,California,Pacific
Silver,Oak Creek Pale Ale,Oak Creek Brewing Co.,Sedona,AZ,American-Style Pale Ale,2005,ale,113909,West,Arizona,Mountain
Bronze,Ironbound Ale,Iron Hill Brewery & Restaurant #1,Wilmington,DE,American-Style Pale Ale,2005,ale,2057,South,Delaware,South Atlantic
Silver,Olympia,Pabst Brewing Co.,San Antonio,TX,American-Style Premium Lager,2005,lager,267339,South,Texas,West South Central
Bronze,Miller High Life,Miller Brewing Co.,Milwaukee,WI,American-Style Premium Lager,2005,lager,56154,North Central,Wisconsin,East North Central
Gold,Barmen Pilsner,Sandlot Brewery at Coors Field,Denver,CO,American-Style Specialty Lager,2005,lager,104247,West,Colorado,Mountain
Silver,Melvis Easly's Special Lager,Sandlot Brewery at Coors Field,Denver,CO,American-Style Specialty Lager,2005,lager,104247,West,Colorado,Mountain
Bronze,Ice House,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2005,lager,56154,North Central,Wisconsin,East North Central
Gold,Shakespeare Stout,Rogue Ales,Newport,OR,American-Style Stout,2005,stout,96981,West,Oregon,Pacific
Silver,Black Magic Stout,Oggi's Pizza & Brewing Co.,San Clemente,CA,American-Style Stout,2005,stout,158693,West,California,Pacific
Bronze,Pipeline Stout,Moose's Tooth Brewing Co.,Anchorage,AK,American-Style Stout,2005,stout,589757,West,Alaska,Pacific
Gold,Dysfunctionale,Piece Brewery,Chicago,IL,American-Style Strong Pale Ale,2005,ale,56400,North Central,Illinois,East North Central
Silver,Racer,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Strong Pale Ale,2005,ale,158693,West,California,Pacific
Bronze,Hoptical Illusion,Blue Point Brewing Co.,Patchogue,NY,American-Style Strong Pale Ale,2005,ale,49576,Northeast,New York,Middle Atlantic
Gold,Triumph Honey Wheat,Triumph Brewing Co. of New Hope,New Hope,PA,American-Style Wheat Beer,2005,wheat,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Pyramid Crystal Weizen,Pyramid Alehouse/Breweries Inc,Seattle,WA,American-Style Wheat Beer,2005,wheat,68192,West,Washington,Pacific
Gold,Sierra Nevada Bigfoot Barley-Wine Style Ale,Sierra Nevada Brewing Co.,Chico,CA,Barley Wine-Style Ale,2005,ale,158693,West,California,Pacific
